1	After reaching their highest levels of the 20th century, homicide rates ill the United States declined precipitously in the early 1990s. This study examines a number of factors that might have contributed to both the sharp increase and decline in homicide rates. We Use a pooled cross-sectional time series model to assess the relationship between changes in structural conditions and the change in homicide rates over four decennial time points (1970, 1980, 1990, and 2000). We assess the extent to which structural covariates associated with social, economic and political conditions commonly used in homicide research (e.g., urban decay, poverty, and the weakening of family and social bonds) are related to the change in homicide rates. Along with these classic covariates, we incorporate some contemporary explanations (e.g., imprisonment rates and drug trafficking) that have been proposed to address the recent decline in urban homicide rates. Our results indicate that both classic and contemporary explanations are related to homicide trends over the last three decades of the 20th century. Specifically, changes in resource deprivation and in the relative size of the youth population are associated with changes in the homicide rate across these time points. Increased imprisonment is also significantly related to homicide changes. These findings lead US to Conclude that efforts to understand the changing nature of homicide will require serious consideration, if not integration, of classic and contemporary explanations. 
0	In this study, the dystopian story narrated in Octavia Butler’s Parable of the Sower is analyzed in detail for the purposes of both examining Robert Putnam’s widely accepted theories of social capital and reconceptualizing it. The protagonist of this story, Lauren, experiences in person the disappointing disillusion of a centrally planned community which is mainly based on Putnam’s social capital. The traces of foundational thinking are found in the collapsed community so that utopianism in Putnam’s social capital ultimately leads to a large range of politico-socio-economic inequalities. The negative influences of these inequalities are primarily reflected in the fact that community members' rights of acting and developing their abilities of critical thinking are deprived. After this bad experience, Lauren starts a persistent, self-reflexive, and adaptive pursuit of realism so as to imagine and act an alternative way of living a better life. A utopian impulse is brought to the forefront in order to sustain this painful yet promising pursuit of reconceptualizing social capital. Though a definite reconceptualization of social capital is not raised, two points are especially highlighted to prevent social capital conceptualization from being assimilated to the abyss of utopianism and repeatedly producing injustice: first is to reject determinism and therefore stick to the “immaterial”, inherent utopian impulse which is believed to flourish in this dialectic tension between resistance and repression; second is to depend on a heterogeneous group of common people who are able to both produce alternative knowledge and rebel against any oppressive authorities.
1	The 2008 collapse of the world financial system, while proximately linked to the housing bubble and risk-laden mortgage backed securities, was a consequence of the financialization of the U.S. economy since the 1970s. This article examines the institutional and income dynamics associated with the financialization of the U.S. economy, advancing a sociological explanation of income shifts into the finance sector. Complementary developments include banking deregulation, finance industry concentration, increased size and scope of institutional investors, the shareholder value movement, and dominance of the neoliberal policy model. As a result, we estimate that between 5.8 and 6.6 trillion dollars were transferred to the finance sector since 1980. We conclude that understanding inequality dynamics requires attention to market institutions and politics.
0	Using 2002 International Social Survey Program data, this study examines (1) whether the association between womens economic resources (full-time job, high income, and college degree) and their attitudes toward marriage differ across 31 countries and (2) whether states approaches on womens employment are associated with how economic resources affect womens attitudes toward marriage. Country-level differences in gender inequality in the labor market and in support for dual-earner couples affect how women view marriage, which may have been one of the unexplored factors affecting recent demographic trends across countries. The results show that for women in countries with generous public childcare services, the negative effect of full-time employment is weaker and the positive effect of education is stronger than those in countries with poor public childcare services. In contrast, the availability of a long parental leave strengthens the association between womens high income and their negative attitudes toward marriage. These findings suggest that states commitment in challenging the gendered division of laborrather than expecting employed mothers to take time off of their workis a vital element in making marriage more attractive to women with more economic resources.
1	Explanations of variability in public opinion on crime have drawn disproportionately from the literature on specific symbolic orientations including religious fundamentalism and racial prejudice. In contrast, this article hypothesizes that public opinion is linked to the strength of a general cultural axis of nations: survivalism vs. self-expressionism. Data are from the fourth wave of the World Values Survey. Hierarchical modeling techniques are used to sort out the bi-level effects of survivalist culture on the approval of prostitution. Controlling for all other predictors, the personal survivalism index was the most powerful predictor of prostitution acceptability, followed by the country-level survivalism index. Unlike previous investigations, which relied on specific symbolic orientations, the present results suggest that attitudes about criminality are linked to a generalized cultural axis.
0	This paper focuses on two Colorado immigrant rights organizations’ repertoires of activism in an unfriendly political climate. This paper highlights how organizations and activists negotiate tactics and strategies in a major election year, when topics such as comprehensive immigration reform are often avoided due to their polarizing effect on voters. I conducted both participant observation and interviews in order to ascertain how activists negotiate framing strategies and interact with broader audiences to garner further support for their goals. Interview and observation data also highlight how immigrants and non-immigrants work together in these movements. Analyzing immigrant rights activism provides insight into how undocumented immigrants, who lack formal political rights, are able to participate in, and attempt to influence, politics on the local, state and national level.
0	National contexts provide very different arenas in which exclusionary attitudes toward immigrants arise and play out. Research suggests that a nation’s political context, as characterized by extreme right-wing party vote, plays an important role in promulgating exclusionary attitudes, particularly in countries with large immigrant populations. In contrast, studies focusing on demographic context assert that the larger the outgroup population in a country, the more potential there is for intergroup contact. Such contact mediates outgroup threat by way of increased familiarization between native and non-native groups. Results from an analysis of public attitudes in 22 OECD countries show that a nation’s demographic context exerts a strong influence on anti-immigrant attitudes, whereby outgroup threat is significantly mediated by familiarization between groups. In contrast, the effects of political context are the reverse of that expected by the extreme right. The public’s anti-immigrant attitudes appear to decrease with the rise of extreme right-wing parties once taking demographic effects into account. Additionally, results show that more specific theories of cultural outgroup threat are only supported in Western European countries, and cannot broadly be supported cross-nationally.
1	"In 2005, the American Psychological Association (APA) issued an official brief on lesbian and gay parenting. This brief included the assertion: ""Not a single study has found children of lesbian or gay parents to be disadvantaged in any significant respect relative to children of heterosexual parents"" (p. 15). The present article closely examines this assertion and the 59 published studies cited by the APA to support it. Seven central questions address: (1) homogeneous sampling, (2) absence of comparison groups, (3) comparison group characteristics, (4) contradictory data, (5) the limited scope of children's outcomes studied, (6) paucity of long-term outcome data, and (7) lack of APA-urged statistical power. The conclusion is that strong assertions, including those made by the APA, were not empirically warranted. Recommendations for future research are offered. "
0	According to prior research, first intercourse during adolescence is a precursor for early union formation.  This research examines whether romantic and nonromantic contexts of adolescent first intercourse increase rates of union formation, controlling for their potential endogeneity.  Utilizing the 1995 National Survey of Family Growth, this research employed discrete-time, competing-hazards models to analyze entry into first co-residential unions among women (n= 8,142).  Both romantic and nonromantic contexts of adolescent first intercourse increased the rate of cohabitation, but not the rate of marriage.  Women who had nonromantic first intercourse during adolescence had lower rates of marriage, while the effect of romantic first intercourse during adolescence reflected endogeneity.  The results suggest that adolescent first intercourse is a precursor of cohabitation, not marriage.
0	I illustrate a number of the deficiencies that currently exist in our understanding of womens participation in prison education, and to offer alternative methods to reduce such deficiencies.  Through a review of studies that examine the conditions of womens prisons and two trend studies examining womens participation in prison education programming between 1979 and 1997, I illustrate a number of the constraints that restrict womens participation in prison education.  Structural conditions of womens prisons are shown to be factors that are known to restrict womens participation.  However, I argue that while structural factors can offer much in our understanding of these phenomena, they do not offer a complete picture.  Since very little is known about the unique and personal motivations of any particular inmate who manages to break through structural barriers that restrict her participation, I argue that new methodologies need to be developed to address these concerns.  Suggestions are made concerning how relevant theoretical perspectives can be used to guide these new methodological techniques.  This research project is designed to be a call to arms that attempts to persuade researchers to move beyond limited methodological procedures that examine the influence of prison education programs on recidivism, and onto projects that examine why some inmates participate and succeed in prison education and others do not.  Only through new methodologies can we begin to understand if these motivational characteristics that may influence participation in prison education can also influence recidivism above and beyond the impact of the educational program itself.
1	This paper uses recent data on tenth graders' performance, and school and family lives to provide a current assessment of generational disparities in math and reading scores, and to evaluate the roles played by a broad range of predictors in creating the observed relative performance of immigrant, second- and third-generation students. In the presence of a wide range of predictors, we find that preschool-aged immigrants outperform the third-plus generation in reading, while the third-plus generation scored higher than school-aged immigrants in reading and outperformed the second generation in both math and reading. We also find that all children of immigrants benefit from very high parental expectations, and that recently arrived immigrants have strong feelings of school attachment which they manifest in pro-school behaviors. In contrast, third-plus generation students socialize more heavily and are relatively indifferent toward school, but have access to more and stronger forms of between-family social capital. These generational differences in attitudes and social capital, and their subsequent effects on generational disparities in academic performance, lend considerable support to the immigrant optimism hypothesis. (c) 2007 Elsevier Inc. All rights reserved.
1	This study suggests that multitasking constitutes an important source of gender inequality, which can help explain previous findings that mothers feel more burdened and stressed than do fathers even when they have relatively similar workloads. Using data from the 500 Family Study, including surveys and the Experience Sampling Method, the study examines activities parents simultaneously engage in and how they feel when multitasking. We find that mothers spend 10 more hours a week multitasking compared to fathers and that these additional hours are mainly related to time spent on housework and childcare. For mothers, multitasking activities at home and in public are associated with an increase in negative emotions, stress, psychological distress, and work-family conflict. By contrast, fathers' multitasking at home involves less housework and childcare and is not a negative experience. We also find several similarities by gender. Mothers' and fathers' multitasking in the company of a spouse or children are positive experiences, whereas multitasking at work, although associated with an increased sense of productivity, is perceived as a negative experience.
0	This paper is a theoretical exploration of the relationship between beliefs, attributions, and public policy.  The problem statement I am working with is, What accounts for the relationship between beliefs about causes of a characteristic and attitudes towards public policy options in regard to that characteristic?  For the purposes of this paper, a characteristic may be any social category.  Examples include race, gender, social class, sexual orientation, and religion.  Public policy is defined as a guideline or principle intended to influence or determine governmental decisions or actions. I propose that attribution of responsibility for a characteristic (as internal or external) mediates belief and public policy.  I also outline one possible empirical test of this proposition.
